Player Name,Elo Rating
EQRDQN_nmcts400_eps0.1,1816.7
EQRDQN_nmcts2_eps0.4,1109.3
EQRDQN_nmcts10_eps0.4,1401.5
EQRDQN_nmcts50_eps0.4,1603.6
EQRDQN_nmcts100_eps0.4,1679.3
EQRDQN_nmcts400_eps0.4,1857.2
EQRDQN_nmcts2_eps0.7,1272.1
EQRDQN_nmcts10_eps0.7,1343.1
EQRDQN_nmcts50_eps0.7,1564.2
EQRDQN_nmcts100_eps0.7,1739.3
EQRDQN_nmcts400_eps0.7,1829.2
EQRQAC_nmcts2,1316
EQRQAC_nmcts10,1531
EQRQAC_nmcts50,1792.9
EQRQAC_nmcts100,1927.7
EQRQAC_nmcts400,2041.1
